sku,marketplace,url
DEMO-001,zalando,https://www.zalando.de/adidas-originals-stan-smith-unisex-sneaker-low-footwear-whitecore-black-ad115o0w8-a13.html
DEMO-002,zalando,https://www.zalando.de/adidas-originals-stan-smith-unisex-sneaker-low-footwear-whitegreen-ad115o0w8-a11.html
DEMO-003,zalando,https://www.zalando.de/adidas-originals-stan-smith-sneaker-low-footwear-whitecrystal-sky-ad111a381-a11.html
SCH-173983-803,otto,https://www.otto.de/p/schiesser-retro-boxer-6er-pack-95-5-cotton-spar-set-retro-short-pant-baumwolle-ohne-eingriff-C1283974182/
SCH-173983-803,galeria,https://www.galeria.de/produkt/schiesser-retro-short-pant-3er-pack-95-5-organic-cotton-4007065791955
